county,date,deaths
Dade,2020-03-16,1
Dade,2020-03-17,1
Dade,2020-03-20,2
Dade,2020-03-22,6
Dade,2020-03-24,4
Dade,2020-03-25,6
Dade,2020-03-26,4
Dade,2020-03-27,11
Dade,2020-03-28,10
Dade,2020-03-29,20
Dade,2020-03-30,14
Dade,2020-03-31,18
Dade,2020-04-01,18
Dade,2020-04-02,22
Dade,2020-04-03,15
Dade,2020-04-04,23
Dade,2020-04-05,12
Dade,2020-04-06,18
Dade,2020-04-07,17
Dade,2020-04-08,27
Dade,2020-04-09,17
Dade,2020-04-10,13
Dade,2020-04-11,20
Dade,2020-04-12,14
Dade,2020-04-13,15
Dade,2020-04-14,26
Dade,2020-04-15,13
Dade,2020-04-16,24
Dade,2020-04-17,22
Dade,2020-04-18,10
Dade,2020-04-19,23
Dade,2020-04-20,16
Dade,2020-04-21,12
Dade,2020-04-22,14
Dade,2020-04-23,18
Dade,2020-04-24,14
Dade,2020-04-25,14
Dade,2020-04-26,8
Dade,2020-04-27,31
Dade,2020-04-28,9
Dade,2020-04-29,12
Dade,2020-04-30,8
Dade,2020-05-01,9
Dade,2020-05-02,8
Dade,2020-05-03,14
Dade,2020-05-04,12
Dade,2020-05-05,13
Dade,2020-05-06,3
Dade,2020-05-07,8
Dade,2020-05-08,6
Dade,2020-05-09,11
Dade,2020-05-10,6
Dade,2020-05-11,10
Dade,2020-05-12,11
Dade,2020-05-13,16
Dade,2020-05-14,16
Dade,2020-05-15,18
Dade,2020-05-16,10
Dade,2020-05-17,17
Dade,2020-05-18,4
Dade,2020-05-19,6
Dade,2020-05-20,18
Dade,2020-05-21,13
Dade,2020-05-22,10
Dade,2020-05-23,5
Dade,2020-05-24,5
Dade,2020-05-25,10
Dade,2020-05-26,9
Dade,2020-05-27,8
Dade,2020-05-28,11
Dade,2020-05-29,7
Dade,2020-05-30,6
Dade,2020-05-31,7
Dade,2020-06-01,7
Dade,2020-06-02,6
Dade,2020-06-03,10
Dade,2020-06-04,4
Dade,2020-06-05,8
Dade,2020-06-06,8
Dade,2020-06-07,8
Dade,2020-06-08,9
Dade,2020-06-09,10
Dade,2020-06-10,11
Dade,2020-06-11,7
Dade,2020-06-12,21
Dade,2020-06-13,5
Dade,2020-06-14,2
Dade,2020-06-15,20
Dade,2020-06-16,9
Dade,2020-06-17,10
Dade,2020-06-18,13
Dade,2020-06-19,15
Dade,2020-06-20,10
Dade,2020-06-21,13
Dade,2020-06-22,20
Dade,2020-06-23,12
Dade,2020-06-24,14
Dade,2020-06-25,21
Dade,2020-06-26,15
Dade,2020-06-27,26
Dade,2020-06-28,12
Dade,2020-06-29,18
Dade,2020-06-30,11
Dade,2020-07-01,31
Dade,2020-07-02,20
Dade,2020-07-03,16
Dade,2020-07-04,19
Dade,2020-07-05,7
Dade,2020-07-06,35
Dade,2020-07-07,25
Dade,2020-07-08,14
Dade,2020-07-09,20
Dade,2020-07-10,24
Dade,2020-07-11,19
Dade,2020-07-12,14
